Lake,Monitoring_Location_ID,Characteristic_Name,GAM_Percent_Change,Lower_CI,Upper_CI
Lake Texoma,310800010011-04,Total hardness,-38.24,-53.71,-22.63
Lake Texoma,311100010020-01,Total hardness,-58.94,-67.27,-50.58
Lake Texoma,311100010020-02,Total hardness,-18.93,-28.13,-9.67
Lake Texoma,311100010030-05,Total hardness,-65.62,-75.13,-56.07
Lake Texoma,311100010030-06,Total hardness,,,
Lake Texoma,311100010030-07,Total hardness,,,
Lake Texoma,311100010030-08,Total hardness,,,
Lake Texoma,311100010030-09,Total hardness,-26.13,-28.4,-23.8
Lake Texoma,311100010030-10,Total hardness,,,
Lake Texoma,311100010030-11,Total hardness,,,
Lake Texoma,311100010080-12,Total hardness,-31.66,-34.95,-28.25
Lake Texoma,311100010080-13,Total hardness,,,
Lake Thunderbird,520810000020-01,Total hardness,-18.46,-18.47,-18.45
Lake Thunderbird,520810000020-02,Total hardness,-13.99,-14.89,-13.09
Lake Thunderbird,520810000020-03,Total hardness,-29.84,-30.15,-29.53
Lake Thunderbird,520810000020-04,Total hardness,-17.35,-19.14,-15.53
Lake Thunderbird,520810000020-05,Total hardness,-27.04,-28.71,-25.34
Lake Thunderbird,520810000020-06,Total hardness,10.96,9.84,12.1
Lake Thunderbird,520810000020-07,Total hardness,,,
Lake Thunderbird,520810000020-08,Total hardness,,,
Lake Thunderbird,520810000020-11,Total hardness,,,
Lake Thunderbird,520810000020-12,Total hardness,,,
Lake Vanderwork,310830020110-01,Total hardness,,,
Lake Vincent,520620050200-01,Total hardness,,,
Lake Vincent,520620050200-02,Total hardness,,,
Lake Vincent,520620050200-03,Total hardness,,,
Lake Wayne Wallace,220100040150-01,Total hardness,,,
Lake Wayne Wallace,220100040150-02,Total hardness,,,
Lake Wayne Wallace,220100040150-03,Total hardness,,,
Langston Lake,620900030180-01,Total hardness,,,
Langston Lake,620900030180-02,Total hardness,,,
Langston Lake,620900030180-03,Total hardness,,,
Liberty Lake,620910040080-01,Total hardness,,,
Liberty Lake,620910040080-02,Total hardness,,,
Liberty Lake,620910040080-03,Total hardness,,,
Lloyd Church,220100040100-01,Total hardness,,,
Lloyd Church,220100040100-02,Total hardness,,,
Lloyd Church,220100040100-03,Total hardness,,,
Lone Chimney Lake,621200030060-01,Total hardness,,,
Lone Chimney Lake,621200030060-02,Total hardness,,,
Lone Chimney Lake,621200030060-03,Total hardness,,,
Lone Chimney Lake,621200030060-04,Total hardness,,,
McGee Creek Reservoir,410400070020-01,Total hardness,,,
McGee Creek Reservoir,410400070020-02,Total hardness,,,
McGee Creek Reservoir,410400070020-03,Total hardness,,,
McGee Creek Reservoir,410400070020-04,Total hardness,,,
McGee Creek Reservoir,410400070020-05,Total hardness,,,
Meeker Lake,520700040370-01,Total hardness,,,
Meeker Lake,520700040370-02,Total hardness,,,
Meeker Lake,520700040370-03,Total hardness,,,
Mountain Lake,310800030200-01,Total hardness,,,
Mountain Lake,310800030200-02,Total hardness,,,
Mountain Lake,310800030200-03,Total hardness,,,
New Spiro Lake,220100010050-01,Total hardness,,,
New Spiro Lake,220100010050-02,Total hardness,,,
New Spiro Lake,220100010050-03,Total hardness,,,
Okemah Lake,520700020290-01,Total hardness,-1.43,-27.2,27.37
Okemah Lake,520700020290-02,Total hardness,-31.91,-36.82,-26.7
Okemah Lake,520700020290-03,Total hardness,-37.44,-40.99,-33.73
Okemah Lake,520700020290-04,Total hardness,-46.87,-49.99,-43.61
Okemah Lake,520700020290-05,Total hardness,-53.38,-53.71,-53.04
Okmulgee Lake,520700020040-01,Total hardness,854.06,847.9,860.23
Okmulgee Lake,520700020040-02,Total hardness,,,
Okmulgee Lake,520700020040-03,Total hardness,,,
Okmulgee Lake,520700020040-04,Total hardness,,,
Okmulgee Lake,520700020040-05,Total hardness,,,
Oologah Lake,121510010020-01,Total hardness,,,
Oologah Lake,121510010020-02,Total hardness,,,
Oologah Lake,121510010020-03,Total hardness,,,
Oologah Lake,121510010020-04,Total hardness,,,
Oologah Lake,121510010020-05,Total hardness,,,
Oologah Lake,121510010020-06,Total hardness,,,
Oologah Lake,121510010020-07,Total hardness,,,
Pauls Valley City Lake,310810010180-01,Total hardness,-2.47,-3.73,-1.21
Pauls Valley City Lake,310810010180-02,Total hardness,,,
Pauls Valley City Lake,310810010180-03,Total hardness,,,
Pauls Valley City Lake,310810010180-04,Total hardness,,,
Pauls Valley City Lake,310810010180-05,Total hardness,,,
Pawnee Lake,621200030100-01,Total hardness,,,
Pawnee Lake,621200030100-02,Total hardness,,,
Pawnee Lake,621200030100-03,Total hardness,,,
Pawnee Lake,621200030100-04,Total hardness,,,
Pawnee Lake,621200030100-05,Total hardness,,,
Perry Lake,621200030350-01,Total hardness,,,
Perry Lake,621200030350-02,Total hardness,-17.55,-17.58,-17.52
Perry Lake,621200030350-03,Total hardness,,,
Perry Lake,621200030350-04,Total hardness,,,
Perry Lake,621200030350-05,Total hardness,,,
Pine Creek Lake,410210020020-01,Total hardness,,,
Pine Creek Lake,410210020020-02,Total hardness,,,
Pine Creek Lake,410210020020-03,Total hardness,,,
Pine Creek Lake,410210020020-04,Total hardness,,,
Pine Creek Lake,410210020020-05,Total hardness,,,
Purcell Lake,520610030040-01,Total hardness,,,
RC Longmire Lake,310810010186-01,Total hardness,,,
RC Longmire Lake,310810010186-02,Total hardness,,,
RC Longmire Lake,310810010186-03,Total hardness,,,
Robert S. Kerr Reservoir,220200020020-01,Total hardness,-10.6,-10.61,-10.6
Robert S. Kerr Reservoir,220200020020-02,Total hardness,-8.64,-8.64,-8.63
Robert S. Kerr Reservoir,220200020020-03,Total hardness,-46.14,-46.16,-46.13
Robert S. Kerr Reservoir,220200020020-04,Total hardness,5.35,5.35,5.35
Robert S. Kerr Reservoir,220200020020-05,Total hardness,29.22,29.2,29.23
Robert S. Kerr Reservoir,220200020020-06,Total hardness,24.71,24.7,24.72
Rock Creek Reservoir,310800030120-01,Total hardness,,,
Rock Creek Reservoir,310800030120-02,Total hardness,,,
Rock Creek Reservoir,310800030120-03,Total hardness,,,
Rocky Lake,311500030060-01,Total hardness,,,
Rocky Lake,311500030060-02,Total hardness,,,
Rocky Lake,311500030060-03,Total hardness,,,
Rocky Lake,311500030060-04,Total hardness,,,
Rocky Lake,311500030060-05,Total hardness,,,
Sardis Lake,410310030020-01,Total hardness,-258.93,-261.1,-256.76
Sardis Lake,410310030020-02,Total hardness,-197.32,-198.89,-195.75
Sardis Lake,410310030020-03,Total hardness,-206,-207.63,-204.36
Sardis Lake,410310030020-04,Total hardness,-205.24,-206.87,-203.61
Sardis Lake,410310030020-05,Total hardness,-180.24,-181.68,-178.8
Shawnee Twin #1 Lake,520510000280-01,Total hardness,52.85,52.82,52.89
Shawnee Twin #1 Lake,520510000280-02,Total hardness,,,
Shawnee Twin #1 Lake,520510000280-03,Total hardness,,,
Shawnee Twin #1 Lake,520510000280-04,Total hardness,,,
Shawnee Twin #2 Lake,520510000300-01,Total hardness,39.09,39.07,39.12
Shawnee Twin #2 Lake,520510000300-02,Total hardness,,,
Shawnee Twin #2 Lake,520510000300-03,Total hardness,,,
Shell Lake,120420010250-01,Total hardness,,,
Shell Lake,120420010250-02,Total hardness,-15.6,-15.6,-15.59
Shell Lake,120420010250-03,Total hardness,6.44,6.44,6.44
Shell Lake,120420010250-04,Total hardness,,,
Shell Lake,120420010250-05,Total hardness,,,
Skiatook Lake,121300040080-01,Total hardness,,,
Skiatook Lake,121300040080-02,Total hardness,,,
Skiatook Lake,121300040080-03,Total hardness,,,
Skiatook Lake,121300040080-04,Total hardness,,,
Skiatook Lake,121300040080-05,Total hardness,,,
Skiatook Lake,121300040080-06,Total hardness,,,
Skiatook Lake,121300040080-07,Total hardness,,,
Sooner Reservoir,621200020130-01,Total hardness,19.13,19.07,19.18
Sooner Reservoir,621200020130-02,Total hardness,60.34,60.17,60.51
Sooner Reservoir,621200020130-03,Total hardness,-12,-12.03,-11.97
Sooner Reservoir,621200020130-04,Total hardness,,,
Sooner Reservoir,621200020130-05,Total hardness,,,
Spavinaw Lake,121600050020-01,Total hardness,89.71,89.47,89.95
Spavinaw Lake,121600050020-02,Total hardness,47.99,47.89,48.09
Spavinaw Lake,121600050020-03,Total hardness,60.7,60.57,60.83
Spavinaw Lake,121600050020-04,Total hardness,,,
Spavinaw Lake,121600050020-05,Total hardness,,,
Sportsman Lake,520500020220-01,Total hardness,,,
Sportsman Lake,520500020220-02,Total hardness,,,
Sportsman Lake,520500020220-03,Total hardness,,,
Stilwell City Lake,220200030120-01,Total hardness,,,
Stilwell City Lake,220200030120-02,Total hardness,,,
Stilwell City Lake,220200030120-03,Total hardness,,,
Stroud Lake,520700030240-01,Total hardness,,,
Stroud Lake,520700030240-02,Total hardness,100.07,80.82,119.7
Stroud Lake,520700030240-03,Total hardness,94.52,94.25,94.79
Stroud Lake,520700030240-04,Total hardness,,,
Stroud Lake,520700030240-05,Total hardness,,,
Talawanda Lake #1,220600020060-01,Total hardness,,,
Talawanda Lake #1,220600020060-02,Total hardness,,,
Talawanda Lake #2,220600020050-01,Total hardness,,,
Talawanda Lake #2,220600020050-02,Total hardness,,,
Taylor (Marlow) Lake,310810050060-01,Total hardness,,,
Taylor (Marlow) Lake,310810050060-02,Total hardness,,,
Taylor (Marlow) Lake,310810050060-03,Total hardness,,,
Tecumseh Lake,520510000220-01,Total hardness,,,
Tecumseh Lake,520510000220-02,Total hardness,24.34,23.29,25.4
Tecumseh Lake,520510000220-03,Total hardness,246.97,236.08,257.87
Tenkiller Ferry Lake,121700020020-01,Total hardness,75.7,75.59,75.81
Tenkiller Ferry Lake,121700020020-02,Total hardness,42.82,35.11,50.69
Tenkiller Ferry Lake,121700020020-07,Total hardness,17.89,13.28,22.56
Tenkiller Ferry Lake,121700020220-03,Total hardness,41.2,33.32,49.2
Tenkiller Ferry Lake,121700020220-04,Total hardness,6.24,6.23,6.24
Tenkiller Ferry Lake,121700020220-05,Total hardness,24.08,24.06,24.1
Tenkiller Ferry Lake,121700020220-06,Total hardness,-21.15,-27.82,-14.33
Tom Steed Reservoir,311500020060-01,Total hardness,33.87,33.86,33.88
Tom Steed Reservoir,311500020060-02,Total hardness,31.96,31.95,31.97
Tom Steed Reservoir,311500020060-03,Total hardness,33.33,33.32,33.34
Tom Steed Reservoir,311500020060-04,Total hardness,,,
Tom Steed Reservoir,311500020060-05,Total hardness,,,
Tom Steed Reservoir,311500020060-06,Total hardness,,,
WR Holway,121600020050-01,Total hardness,-3.65,-12.91,6.21
WR Holway,121600020050-02,Total hardness,-1092.22,-1138.17,-1046.05
WR Holway,121600020050-03,Total hardness,-928.01,-967.4,-888.45
WR Holway,121600020050-04,Total hardness,-42.81,-43.1,-42.52
WR Holway,121600020050-05,Total hardness,-31.46,-31.68,-31.23
Walters (Dave Boyer) Lake,311300010080-01,Total hardness,,,
Walters (Dave Boyer) Lake,311300010080-02,Total hardness,,,
Walters (Dave Boyer) Lake,311300010080-03,Total hardness,,,
Waurika Lake,311210000020-01,Total hardness,136.67,122.29,151.23
Waurika Lake,311210000020-02,Total hardness,131.41,115.91,147.2
Waurika Lake,311210000020-03,Total hardness,104.52,96.06,113.07
Waurika Lake,311210000020-04,Total hardness,-951.08,-1425.22,-461.47
Waurika Lake,311210000020-05,Total hardness,-107.76,-241.54,27.42
Waxhoma Lake,121300020190-01,Total hardness,,,
Waxhoma Lake,121300020190-02,Total hardness,,,
Waxhoma Lake,121300020190-03,Total hardness,,,
Webbers Falls Reservoir,120400010070-01,Total hardness,,,
Webbers Falls Reservoir,120400010070-02,Total hardness,,,
Webbers Falls Reservoir,120400010070-03,Total hardness,,,
Webbers Falls Reservoir,120400010070-04,Total hardness,,,
Webbers Falls Reservoir,120400010070-05,Total hardness,,,
Webbers Falls Reservoir,120400010070-06,Total hardness,,,
Weleetka,520500010220-01,Total hardness,,,
Weleetka,520500010220-02,Total hardness,,,
Wes Watkins Reservoir,520510000255-01,Total hardness,10.53,10.53,10.54
Wes Watkins Reservoir,520510000255-02,Total hardness,117.52,116.85,118.19
Wes Watkins Reservoir,520510000255-03,Total hardness,132.2,131.45,132.96
Wes Watkins Reservoir,520510000255-04,Total hardness,,,
Wes Watkins Reservoir,520510000255-05,Total hardness,,,
Wetumka Lake,520500010270-01,Total hardness,,,
Wetumka Lake,520500010270-02,Total hardness,,,
Wetumka Lake,520500010270-03,Total hardness,,,
Wewoka Lake,520500020190-01,Total hardness,,,
Wewoka Lake,520500020190-02,Total hardness,-17.4,-20.61,-14.08
Wewoka Lake,520500020190-03,Total hardness,-4.6,-4.81,-4.4
Wewoka Lake,520500020190-04,Total hardness,,,
Wewoka Lake,520500020190-05,Total hardness,,,
Wiley Post Memorial (Maysville) Lake,310810010220-01,Total hardness,-13.23,-13.23,-13.23
Wiley Post Memorial (Maysville) Lake,310810010220-02,Total hardness,,,
Wiley Post Memorial (Maysville) Lake,310810010220-03,Total hardness,,,
Wiley Post Memorial (Maysville) Lake,310810010220-04,Total hardness,,,
Wister Lake,220100020020-01,Total hardness,,,
Wister Lake,220100020020-02,Total hardness,,,
Wister Lake,220100020020-03,Total hardness,,,
Wister Lake,220100020020-04,Total hardness,,,
Wister Lake,220100020020-05,Total hardness,,,
Altus Reservoir,311510010020-01,Chloride,,,
Altus Reservoir,311510010020-02,Chloride,,,
Altus Reservoir,311510010020-03,Chloride,,,
Altus Reservoir,311510010020-04,Chloride,,,
Altus Reservoir,311510010020-05,Chloride,,,
American Horse Lake,520620010100-01,Chloride,,,
American Horse Lake,520620010100-02,Chloride,,,
American Horse Lake,520620010100-03,Chloride,,,
Arbuckle Reservoir,310800020100-01,Chloride,,,
Arbuckle Reservoir,310800020100-02,Chloride,,,
Arbuckle Reservoir,310800020100-03,Chloride,,,
Arbuckle Reservoir,310800020100-04,Chloride,,,
Arbuckle Reservoir,310800020100-05,Chloride,,,
Arcadia Lake,520710020020-01,Chloride,213.73,189.78,240.66
Arcadia Lake,520710020020-02,Chloride,1716.16,1605.17,1831.1
Arcadia Lake,520710020020-03,Chloride,1478.91,1387.93,1572.64
Arcadia Lake,520710020020-04,Chloride,1340.81,1261.68,1422.06
Arcadia Lake,520710020020-05,Chloride,-1890.29,-1952.33,-1825.42
Ardmore City Lake,310800030070-01,Chloride,,,
Ardmore City Lake,310800030070-02,Chloride,,,
Ardmore City Lake,310800030070-03,Chloride,,,
Bellcow Lake,520720040025-01,Chloride,,,
Bellcow Lake,520720040025-02,Chloride,,,
Bellcow Lake,520720040025-03,Chloride,-25.49,-25.5,-25.47
Bellcow Lake,520720040025-04,Chloride,,,
Bellcow Lake,520720040025-05,Chloride,,,
Birch Lake,121300030040-01,Chloride,,,
Birch Lake,121300030040-02,Chloride,,,
Birch Lake,121300030040-03,Chloride,,,
Birch Lake,121300030040-04,Chloride,238.57,159.03,320.16
Birch Lake,121300030040-05,Chloride,,,
Bixhoma Lake,120410010190-01,Chloride,,,
Bixhoma Lake,120410010190-02,Chloride,,,
Bixhoma Lake,120410010190-03,Chloride,,,
Bluestem Lake,121300030300-01,Chloride,,,
Bluestem Lake,121300030300-02,Chloride,,,
Bluestem Lake,121300030300-03,Chloride,,,
Bluestem Lake,121300030300-04,Chloride,,,
Boomer Lake,620900040190-01,Chloride,,,
Boomer Lake,620900040190-02,Chloride,,,
Boomer Lake,620900040190-03,Chloride,,,
Boomer Lake,620900040190-04,Chloride,,,
Boomer Lake,620900040190-05,Chloride,,,
Brown Lake,220600030090-01,Chloride,,,
Brown Lake,220600030090-02,Chloride,,,
Brown Lake,220600030090-03,Chloride,,,
Brushy Creek Reservoir,220200030040-03,Chloride,,,
Brushy Creek Reservoir,220200030040-04,Chloride,,,
Canton Lake,720500010020-01,Chloride,,,
Canton Lake,720500010020-02,Chloride,,,
Canton Lake,720500010020-03,Chloride,,,
Canton Lake,720500010020-04,Chloride,,,
Canton Lake,720500010020-05,Chloride,,,
Chandler Lake,520700050060-01,Chloride,,,
Chandler Lake,520700050060-02,Chloride,,,
Chandler Lake,520700050060-03,Chloride,,,
Claremore,121500040020-01,Chloride,,,
Claremore,121500040020-02,Chloride,,,
Claremore,121500040020-03,Chloride,,,
Claremore,121500040020-04,Chloride,,,
Claremore,121500040020-05,Chloride,,,
Clear Creek Lake,310810040120-01,Chloride,,,
Clear Creek Lake,310810040120-02,Chloride,,,
Clear Creek Lake,310810040120-03,Chloride,,,
Clear Creek Lake,310810040120-04,Chloride,54.89,50.03,59.82
Clear Creek Lake,310810040120-05,Chloride,56.16,51.45,60.95
Cleveland City Lake,621200010270-01,Chloride,1013.65,970.68,1056.84
Cleveland City Lake,621200010270-02,Chloride,995.9,922.83,1069.53
Cleveland City Lake,621200010270-03,Chloride,984.76,852.89,1118.48
Clinton Lake,310830030280-01,Chloride,,,
Clinton Lake,310830030280-02,Chloride,,,
Clinton Lake,310830030280-03,Chloride,,,
Clinton Lake,310830030280-04,Chloride,,,
Clinton Lake,310830030280-05,Chloride,,,
Comanche Lake,311100040170-01,Chloride,,,
Comanche Lake,311100040170-02,Chloride,,,
Comanche Lake,311100040170-03,Chloride,,,
Copan Lake,121400050020-01,Chloride,,,
Copan Lake,121400050020-02,Chloride,,,
Copan Lake,121400050020-03,Chloride,,,
Copan Lake,121400050020-04,Chloride,,,
Copan Lake,121400050020-05,Chloride,,,
Crowder Lake,310830060130-01,Chloride,,,
Crowder Lake,310830060130-02,Chloride,,,
Crowder Lake,310830060130-03,Chloride,,,
Cushing  Municipal Lake,620900020120-01,Chloride,,,
Cushing  Municipal Lake,620900020120-02,Chloride,,,
Cushing  Municipal Lake,620900020120-03,Chloride,,,
Cushing  Municipal Lake,620900020120-04,Chloride,0.65,-2.68,4.1
Cushing  Municipal Lake,620900020120-05,Chloride,26.93,24.58,29.33
Dripping Springs Lake,520700020060-01,Chloride,411.9,409.53,414.28
Dripping Springs Lake,520700020060-02,Chloride,315.06,313.37,316.75
Dripping Springs Lake,520700020060-03,Chloride,369.79,367.68,371.91
Dripping Springs Lake,520700020060-04,Chloride,416.58,414.18,418.99
Dripping Springs Lake,520700020060-05,Chloride,96.7,96.56,96.84
Duncan Lake,310810040080-01,Chloride,132.13,132.08,132.17
Duncan Lake,310810040080-02,Chloride,139.18,139.13,139.23
Duncan Lake,310810040080-03,Chloride,137.86,137.81,137.91
Duncan Lake,310810040080-04,Chloride,,,
Duncan Lake,310810040080-05,Chloride,,,
Elk City Lake,311500030120-01,Chloride,46.06,45.58,46.53
Elk City Lake,311500030120-02,Chloride,49.8,49.23,50.37
Elk City Lake,311500030120-03,Chloride,50.74,50.23,51.24
Elmer Lake,620910050070-01,Chloride,,,
Elmer Lake,620910050070-02,Chloride,,,
Elmer Lake,620910050070-03,Chloride,,,
Elmer Thomas Lake,311300040050-01,Chloride,,,
Elmer Thomas Lake,311300040050-02,Chloride,,,
Eucha Lake,121600050070-01,Chloride,,,
Eucha Lake,121600050070-02,Chloride,,,
Eucha Lake,121600050070-03,Chloride,162.56,162.34,162.78
Eucha Lake,121600050070-04,Chloride,,,
Eucha Lake,121600050070-05,Chloride,,,
Eufaula Lake,220600010020-05,Chloride,,,
Eufaula Lake,220600010020-06,Chloride,,,
Eufaula Lake,220600010020-07,Chloride,,,
Eufaula Lake,220600010050-09,Chloride,300.84,297.78,303.9
Eufaula Lake,220600010050-10,Chloride,,,
Eufaula Lake,220600010050-11,Chloride,600.73,594.37,607.09
Eufaula Lake,220600010060-08,Chloride,,,
Eufaula Lake,220600050010-12,Chloride,724.65,716.89,732.43
Eufaula Lake,220600050010-13,Chloride,418.2,413.91,422.5
Eufaula Lake,220600050010-14,Chloride,165.56,163.91,167.2
Eufaula Lake,220600050010-15,Chloride,,,
Eufaula Lake,220600050010-16,Chloride,,,
Eufaula Lake,220600050010-17,Chloride,,,
Eufaula Lake,520500010020-03,Chloride,-43.12,-43.67,-42.56
Eufaula Lake,520500010020-04,Chloride,,,
Eufaula Lake,520700010020-01,Chloride,177.44,175.83,179.05
Eufaula Lake,520700010020-02,Chloride,-66.99,-68.9,-65.05
Fairfax Lake,621200040040-01,Chloride,,,
Fort Cobb Reservoir,310830060020-01,Chloride,47.15,47.14,47.16
Fort Cobb Reservoir,310830060020-02,Chloride,,,
Fort Cobb Reservoir,310830060020-03,Chloride,,,
Fort Cobb Reservoir,310830060020-04,Chloride,,,
Fort Cobb Reservoir,310830060020-05,Chloride,,,
Fort Cobb Reservoir,310830060020-06,Chloride,,,
Fort Gibson Lake,121600010050-01,Chloride,40.67,40.6,40.75
Fort Gibson Lake,121600010050-02,Chloride,42.51,42.43,42.59
Fort Gibson Lake,121600010050-03,Chloride,42.1,42.02,42.18
Fort Gibson Lake,121600010050-04,Chloride,,,
Fort Gibson Lake,121600010200-05,Chloride,,,
Fort Gibson Lake,121600010200-06,Chloride,,,
Fort Gibson Lake,121600010200-07,Chloride,,,
Fort Gibson Lake,121600010200-08,Chloride,,,
Fort Supply Lake,720500030020-01,Chloride,70.84,70.5,71.17
Fort Supply Lake,720500030020-02,Chloride,60.23,59.94,60.51
Fort Supply Lake,720500030020-03,Chloride,58.55,58.28,58.82
Fort Supply Lake,720500030020-04,Chloride,,,
Fort Supply Lake,720500030020-05,Chloride,,,
Foss Reservoir,310840010020-01,Chloride,,,
Foss Reservoir,310840010020-02,Chloride,,,
Foss Reservoir,310840010020-03,Chloride,,,
Foss Reservoir,310840010020-04,Chloride,,,
Foss Reservoir,310840010020-05,Chloride,39.1,21.99,56.25
Fuqua Lake,310810040050-01,Chloride,237.87,227.07,248.69
Fuqua Lake,310810040050-02,Chloride,207.84,198.41,217.27
Fuqua Lake,310810040050-03,Chloride,232.59,222.03,243.15
Fuqua Lake,310810040050-04,Chloride,211.1,201.53,220.69
Fuqua Lake,310810040050-05,Chloride,165.08,157.6,172.56
Grand Lake,121600030020-01,Chloride,,,
Grand Lake,121600030020-02,Chloride,,,
Grand Lake,121600030020-03,Chloride,,,
Grand Lake,121600030030-04,Chloride,,,
Grand Lake,121600030030-05,Chloride,,,
Grand Lake,121600030030-06,Chloride,,,
Grand Lake,121600030030-07,Chloride,,,
Grand Lake,121600030030-08,Chloride,,,
Grand Lake,121600030030-09,Chloride,,,
Grand Lake,121600030040-10,Chloride,,,
Grand Lake,121600030040-11,Chloride,,,
Grand Lake,121600030040-12,Chloride,,,
Grand Lake,121600030040-13,Chloride,,,
Great Salt Plains Lake,621010010020-01,Chloride,-396.83,-518.02,-267.49
Great Salt Plains Lake,621010010020-02,Chloride,-633.89,-744.74,-515.77
Great Salt Plains Lake,621010010020-03,Chloride,,,
Great Salt Plains Lake,621010010020-04,Chloride,,,
Great Salt Plains Lake,621010010020-05,Chloride,,,
Guthrie Lake,620910040060-01,Chloride,-34.77,-34.78,-34.77
Guthrie Lake,620910040060-02,Chloride,,,
Guthrie Lake,620910040060-03,Chloride,,,
Guthrie Lake,620910040060-04,Chloride,,,
Guthrie Lake,620910040060-05,Chloride,,,
Healdton Lake,311100030130-01,Chloride,,,
Healdton Lake,311100030130-02,Chloride,,,
Healdton Lake,311100030130-03,Chloride,,,
Healdton Lake,311100030130-04,Chloride,,,
Healdton Lake,311100030130-05,Chloride,,,
Hefner Lake,620910040200-01,Chloride,-237.99,-263.32,-212.58
Hefner Lake,620910040200-02,Chloride,-214.73,-236.84,-192.54
Hefner Lake,620910040200-03,Chloride,-411.5,-450.02,-372.77
Hefner Lake,620910040200-04,Chloride,,,
Hefner Lake,620910040200-05,Chloride,,,
Heyburn Lake,120420020300-01,Chloride,,,
Heyburn Lake,120420020300-02,Chloride,,,
Heyburn Lake,120420020300-03,Chloride,,,
Heyburn Lake,120420020300-04,Chloride,,,
Heyburn Lake,120420020300-05,Chloride,,,
Holdenville Lake,520800010040-01,Chloride,,,
Holdenville Lake,520800010040-02,Chloride,,,
Holdenville Lake,520800010040-03,Chloride,,,
Holdenville Lake,520800010040-04,Chloride,,,
Holdenville Lake,520800010040-05,Chloride,,,
Hominy Lake,121300040330-01,Chloride,,,
Hominy Lake,121300040330-02,Chloride,,,
Hominy Lake,121300040330-03,Chloride,,,
Hudson Lake,121400020090-01,Chloride,140.92,140.13,141.71
Hudson Lake,121400020090-02,Chloride,140.92,140.13,141.71
Hudson Lake,121400020090-03,Chloride,,,
Hugo Lake,410300020020-01,Chloride,,,
Hugo Lake,410300020020-04,Chloride,,,
Hugo Lake,410300020020-05,Chloride,,,
Hulah Lake,121400030020-01,Chloride,,,
Hulah Lake,121400030020-02,Chloride,,,
Hulah Lake,121400030020-03,Chloride,,,
Hulah Lake,121400030020-04,Chloride,,,
Hulah Lake,121400030020-05,Chloride,,,
Humphreys Lake,310810040150-01,Chloride,428.59,408.95,448.25
Humphreys Lake,310810040150-02,Chloride,384.21,366.71,401.73
Humphreys Lake,310810040150-03,Chloride,326.63,311.79,341.48
Humphreys Lake,310810040150-04,Chloride,,,
Humphreys Lake,310810040150-05,Chloride,,,
John Wells Lake,220200040030-01,Chloride,,,
John Wells Lake,220200040030-02,Chloride,,,
Kaw Lake,621210000020-01,Chloride,-536.72,-565.53,-506.82
Kaw Lake,621210000020-02,Chloride,-357.29,-377.13,-336.88
Kaw Lake,621210000040-03,Chloride,-109.01,-119.34,-98.57
Kaw Lake,621210000040-04,Chloride,-308.15,-326.89,-288.91
Kaw Lake,621210000040-05,Chloride,360.55,324.59,397.78
Keystone Lake,620900010020-06,Chloride,236.82,236.66,236.98
Keystone Lake,620900010020-07,Chloride,241.54,241.37,241.7
Keystone Lake,620900010020-08,Chloride,351.38,351.08,351.68
Keystone Lake,620900010020-09,Chloride,256.66,256.48,256.83
Keystone Lake,620900010090-10,Chloride,135.53,135.43,135.63
Keystone Lake,620900010090-11,Chloride,841.35,840.42,842.27
Keystone Lake,620900010090-12,Chloride,,,
Keystone Lake,621200010020-01,Chloride,382.48,382.14,382.81
Keystone Lake,621200010020-02,Chloride,238.64,238.48,238.8
Keystone Lake,621200010050-03,Chloride,245.29,245.09,245.48
Keystone Lake,621200010050-04,Chloride,231.5,231.34,231.65
Keystone Lake,621200010050-05,Chloride,181.26,181.15,181.38
Lake Carl Blackwell,620900040280-01,Chloride,,,
Lake Carl Blackwell,620900040280-02,Chloride,,,
Lake Carl Blackwell,620900040280-03,Chloride,,,
Lake Carl Blackwell,620900040280-04,Chloride,,,
Lake Carl Blackwell,620900040280-05,Chloride,,,
Lake Chickasha,310830040020-01,Chloride,,,
Lake Chickasha,310830040020-02,Chloride,,,
Lake Chickasha,310830040020-03,Chloride,,,
Lake Chickasha,310830040020-04,Chloride,,,
Lake Chickasha,310830040020-05,Chloride,,,
Lake El Reno,520530000080-01,Chloride,74.61,74.59,74.64
Lake El Reno,520530000080-02,Chloride,70.21,70.19,70.24
Lake El Reno,520530000080-03,Chloride,66.54,66.52,66.57
Lake Ellsworth,311300030020-01,Chloride,,,
Lake Ellsworth,311300030020-02,Chloride,,,
Lake Ellsworth,311300030020-03,Chloride,,,
Lake Ellsworth,311300030020-04,Chloride,-7.53,-7.53,-7.53
Lake Ellsworth,311300030020-05,Chloride,,,
Lake Etling,720900000240-01,Chloride,,,
Lake Etling,720900000240-02,Chloride,,,
Lake Etling,720900000240-03,Chloride,,,
Lake Frederick,311310030120-01,Chloride,-299.8,-301.51,-298.1
Lake Frederick,311310030120-02,Chloride,-252.73,-254.09,-251.36
Lake Frederick,311310030120-03,Chloride,-236.04,-237.32,-234.77
Lake Frederick,311310030120-04,Chloride,,,
Lake Frederick,311310030120-05,Chloride,,,
Lake Henryetta,520700010180-03,Chloride,,,
Lake Hudson,121600020020-01,Chloride,,,
Lake Hudson,121600020020-02,Chloride,,,
Lake Hudson,121600020020-03,Chloride,,,
Lake Hudson,121600020020-04,Chloride,,,
Lake Hudson,121600020140-05,Chloride,,,
